KEGG_ID	Outdegree	Indegree	Betweenness	HBLC	Closeness	OCCI	Common_name
K00873	8	8	125344.281968428	7834.01762302678	5.88945493094614e-06	0.000140449438202247	pyruvate_kinase_[EC:2.7.1.40]
K01662	3	3	85737.5798303617	14289.5966383936	5.89271719082386e-06	0.000142328494164532	1-deoxy-D-xylulose-5-phosphate_synthase_[EC:2.2.1.7]
K00615	6	7	79305.7299657271	6100.44076659439	5.87009480203105e-06	0.000130208333333333	transketolase_[EC:2.2.1.1]
K01625	5	5	75703.1574416101	7570.31574416101	5.90384990052013e-06	0.000149120190873844	2-dehydro-3-deoxyphosphogluconate_aldolase_/_4-hydroxy-2-oxoglutarate_aldolase_[EC:4.1.2.14_4.1.3.16]
K00656	3	4	66584.3466822484	9512.04952603549	5.8969565807087e-06	0.000144843568945539	formate_C-acetyltransferase_[EC:2.3.1.54]
K00812	14	15	65006.6469047764	2241.60851395781	5.9032922660968e-06	0.000148765248437965	aspartate_aminotransferase_[EC:2.6.1.1]
K11358	14	15	65006.6469047764	2241.60851395781	5.9032922660968e-06	0.000148765248437965	aspartate_aminotransferase_[EC:2.6.1.1]
K03737	2	3	61505.7198303158	12301.1439660632	5.89758258090009e-06	0.000145222189950624	putative_pyruvate-flavodoxin_oxidoreductase_[EC:1.2.7.-]
K00648	3	4	60199.5454545454	8599.93506493506	5.8669952183989e-06	0.000128700128700129	3-oxoacyl-[acyl-carrier-protein]_synthase_III_[EC:2.3.1.180]
K00128	21	21	57123.5131707161	1360.08364692181	5.88370273180318e-06	0.000137249519626681	aldehyde_dehydrogenase_(NAD+)_[EC:1.2.1.3]
K01624	6	7	51351.5655897714	3950.12042998241	5.86740830707668e-06	0.000128899200824955	fructose-bisphosphate_aldolase,_class_II_[EC:4.1.2.13]
K14155	5	5	40924.1354699286	4092.41354699286	5.89758258090009e-06	0.000145222189950624	cystathione_beta-lyase_[EC:4.4.1.8]
K01000	3	3	35573.5114039979	5928.91856733299	5.75403789609358e-06	8.99604174163368e-05	phospho-N-acetylmuramoyl-pentapeptide-transferase_[EC:2.7.8.13]
K00945	6	6	35562.024831346	2963.50206927884	5.7929036929761e-06	0.000100502512562814	cytidylate_kinase_[EC:2.7.4.14]
K00626	4	3	34765.9215914411	4966.56022734872	5.86575630128871e-06	0.000128106584678452	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
K00548	3	3	33883.5976984009	5647.26628306682	5.86307377505731e-06	0.000126839167935058	5-methyltetrahydrofolate--homocysteine_methyltransferase_[EC:2.1.1.13]
K00600	5	4	32146.8820446322	3571.87578273691	5.86961242949128e-06	0.000129971406290616	glycine_hydroxymethyltransferase_[EC:2.1.2.1]
