Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway	grouping	KEGG_code
18	39	20	K00790	murA;_UDP-N-acetylglucosamine_1-carboxyvinyltransferase_(EC:2.5.1.7)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_01230
13	18	9	K00075	murB;_UDP-N-acetylenolpyruvoylglucosamine_reductase_(EC:1.1.1.158)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_34020
34	51	61	K02563	murG;_UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase_(EC:2.4.1.227)	Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_26510
29	7	17	none	nagA;_N-acetylglucosamine-6-phosphate_deacetylase_(EC:3.5.1.25)	none	Amino sugar catabolism	cdf:CD630_10100
49	12	25	K02564	nagB;_glucosamine-6-phosphate_deaminase_(EC:3.5.99.6)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_10110
367	212	511	K00248	acdB;_acyl-CoA_dehydrogenase_(EC:1.3.99.-)	Fatty_acid_degradation;Metabolism;Lipid_metabolism|Valine,_leucine_and_isoleucine_degradation;Metabolism;Amino_acid_metabolism|Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Fatty_acid_metabolism;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_03990
22	12	23	none	acd;_mannosyl-glycoprotein_endo-beta-N-acetylglucosamidase_(EC:3.2.1.96)	none	Amino sugar catabolism	cdf:CD630_13040
52	3	66	K01639	nanA;_N-acetylneuraminate_lyase_(EC:4.1.3.3)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism	Amino sugar catabolism	cdf:CD630_22400
18	0	24	K01788	nanE;_N-acetylmannosamine-6-phosphate_2-epimerase_(EC:5.1.3.9)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism	Amino sugar catabolism	cdf:CD630_22410
59	48	24	none	glmM;_phosphoglucosamine_mutase_(EC:5.4.2.10)	none	Amino sugar catabolism	cdf:CD630_01190
88	76	29	K00820	glmS;_glucosamine--fructose-6-phosphate_aminotransferase_(EC:2.6.1.16)	Alanine,_aspartate_and_glutamate_metabolism;Metabolism;Amino_acid_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_01200
53	43	37	K04042	glmU;_bifunctional_N-acetylglucosamine-1-phosphate_uridyltransferase/glucosamine-1-phosphate_acetyltransferase_(EC:2.3.1.157_2.7.7.23)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_35150
16	14	14	K01443	N-acetylglucosamine-6-phosphate_deacetylase_(EC:3.5.1.25)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_34530
149	178	212	K01270	pepD;_peptidase_D,_aminoacyl-histidine_dipeptidase	Glutathione_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_07080
24	33	22	K01258	pepT;_peptidase_T_(EC:3.4.11.4)	none	Stickland reactions	cdf:CD630_10460
7	6	11	K01255	pepA;_multifunctional_aminopeptidase_A_(EC:3.4.11.1)	Glutathione_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_13000
