KEGG_ID	Degree_centrality	Betweenness_centrality	Closeness_centrality	Compound_name
K00001	30	10717.0332387933	5.83590599522623e-06	alcohol_dehydrogenase_[EC:1.1.1.1]
K00003	4	2217	5.70453910176327e-06	homoserine_dehydrogenase_[EC:1.1.1.3]
K00008	2	494.523583708077	5.74768799250502e-06	L-iditol_2-dehydrogenase_[EC:1.1.1.14]
K00009	2	3028	5.80251713193183e-06	mannitol-1-phosphate_5-dehydrogenase_[EC:1.1.1.17]
K00012	2	14	5.67881744305566e-06	UDPglucose_6-dehydrogenase_[EC:1.1.1.22]
K00013	4	2803	5.69537706243842e-06	histidinol_dehydrogenase_[EC:1.1.1.23]
K00014	4	1451	5.56071466304849e-06	shikimate_dehydrogenase_[EC:1.1.1.25]
K00016	8	10179.5077285707	5.89049568521191e-06	L-lactate_dehydrogenase_[EC:1.1.1.27]
K00019	2	757	5.7933735393457e-06	3-hydroxybutyrate_dehydrogenase_[EC:1.1.1.30]
K00027	3	5632.20170859514	5.88162638732862e-06	malate_dehydrogenase_(oxaloacetate-decarboxylating)_[EC:1.1.1.38]
K00030	4	5780	5.86293627574562e-06	isocitrate_dehydrogenase_(NAD+)_[EC:1.1.1.41]
K00042	2	698	5.81162208183926e-06	2-hydroxy-3-oxopropionate_reductase_[EC:1.1.1.60]
K00043	2	757	5.74122023894959e-06	4-hydroxybutyrate_dehydrogenase_[EC:1.1.1.61]
K00052	7	8403.85280577323	5.84470615739794e-06	3-isopropylmalate_dehydrogenase_[EC:1.1.1.85]
K00053	12	7904.07012987013	5.80676255567234e-06	ketol-acid_reductoisomerase_[EC:1.1.1.86]
K00057	2	945.219850853144	5.83399938159607e-06	glycerol-3-phosphate_dehydrogenase_(NAD(P)+)_[EC:1.1.1.94]
K00058	2	698	5.79035442759451e-06	D-3-phosphoglycerate_dehydrogenase_[EC:1.1.1.95]
K00059	30	23733	5.79955575402924e-06	3-oxoacyl-[acyl-carrier_protein]_reductase_[EC:1.1.1.100]
K00068	2	3290.47641629192	5.80258447112344e-06	sorbitol-6-phosphate_2-dehydrogenase_[EC:1.1.1.140]
K00074	6	4619.10124314016	5.80009396152218e-06	3-hydroxybutyryl-CoA_dehydrogenase_[EC:1.1.1.157]
K00075	2	6056	5.68533921576431e-06	UDP-N-acetylmuramate_dehydrogenase_[EC:1.3.1.98]
K00077	4	2913.55281385281	5.76358910220573e-06	2-dehydropantoate_2-reductase_[EC:1.1.1.169]
K00086	4	4	6.91561019194968e-07	1,3-propanediol_dehydrogenase_[EC:1.1.1.202]
K00088	4	2102.25002637495	5.82021360183919e-06	IMP_dehydrogenase_[EC:1.1.1.205]
K00099	4	20791.0904761905	5.82177226391258e-06	1-deoxy-D-xylulose-5-phosphate_reductoisomerase_[EC:1.1.1.267]
K00104	6	4407	5.83107379223884e-06	glycolate_oxidase_[EC:1.1.3.15]
K00128	42	57123.5131707161	5.88370273180318e-06	aldehyde_dehydrogenase_(NAD+)_[EC:1.2.1.3]
K00131	2	4145.93674541469	5.85277919219942e-06	glyceraldehyde-3-phosphate_dehydrogenase_(NADP)_[EC:1.2.1.9]
K00133	4	6634.50738123037	5.7737720630265e-06	aspartate-semialdehyde_dehydrogenase_[EC:1.2.1.11]
K00134	4	4710.47227927225	5.85209417189941e-06	glyceraldehyde_3-phosphate_dehydrogenase_[EC:1.2.1.12]
K00145	4	4733.9926187696	5.70681793538741e-06	N-acetyl-gamma-glutamyl-phosphate_reductase_[EC:1.2.1.38]
K00161	7	2013.16632314952	5.87968978756681e-06	pyruvate_dehydrogenase_E1_component_subunit_alpha_[EC:1.2.4.1]
K00162	7	2013.16632314952	5.87968978756681e-06	pyruvate_dehydrogenase_E1_component_subunit_beta_[EC:1.2.4.1]
K00174	5	2992.57461302917	5.87174925281991e-06	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_alpha_[EC:1.2.7.3]
K00175	5	2992.57461302917	5.87174925281991e-06	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_beta_[EC:1.2.7.3]
K00176	5	2992.57461302917	5.87174925281991e-06	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta_[EC:1.2.7.3]
K00177	5	2992.57461302917	5.87174925281991e-06	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_gamma_[EC:1.2.7.3]
K00194	10	15220.4033669913	5.87913670756586e-06	acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_[EC:2.1.1.245]
K00196	6	3223.14260415259	5.85058769153361e-06	carbon-monoxide_dehydrogenase_iron_sulfur_subunit
K00197	10	15220.4033669913	5.87913670756586e-06	acetyl-CoA_decarbonylase/synthase_complex_subunit_gamma_[EC:2.1.1.245]
K00198	6	3223.14260415259	5.85058769153361e-06	carbon-monoxide_dehydrogenase_catalytic_subunit_[EC:1.2.99.2_1.2.7.4]
K00215	4	1289.50738123042	5.64962175782331e-06	4-hydroxy-tetrahydrodipicolinate_reductase_[EC:1.17.1.8]
K00226	4	2198.7	5.75768218745862e-06	dihydroorotate_dehydrogenase_(fumarate)_[EC:1.3.98.1]
K00248	14	12668.8035798263	5.80359474658603e-06	butyryl-CoA_dehydrogenase_[EC:1.3.8.1]
K00260	5	2760.78561554704	5.88141883347939e-06	glutamate_dehydrogenase_[EC:1.4.1.2]
K00266	7	9785.70446638205	5.89299499684725e-06	glutamate_synthase_(NADPH/NADH)_small_chain_[EC:1.4.1.13_1.4.1.14]
K00278	5	5349.6046622136	5.85826513336341e-06	L-aspartate_oxidase_[EC:1.4.3.16]
K00282	6	3830.54912052432	5.85908891167424e-06	glycine_dehydrogenase_subunit_1_[EC:1.4.4.2]
K00283	6	3830.54912052432	5.85908891167424e-06	glycine_dehydrogenase_subunit_2_[EC:1.4.4.2]
K00286	8	2214	5.70831644623051e-06	pyrroline-5-carboxylate_reductase_[EC:1.5.1.2]
K00366	4	1451	5.84525277795638e-06	ferredoxin-nitrite_reductase_[EC:1.7.7.1]
K00382	6	6745.02565521563	5.87133555269817e-06	dihydrolipoamide_dehydrogenase_[EC:1.8.1.4]
K00384	6	4010.88964597634	5.78238569669074e-06	thioredoxin_reductase_(NADPH)_[EC:1.8.1.9]
K00385	4	601.850632573065	5.82421358556061e-06	anaerobic_sulfite_reductase_subunit_C
K00525	10	23857.514081348	5.83767753836814e-06	ribonucleoside-diphosphate_reductase_alpha_chain_[EC:1.17.4.1]
